،	arabic, arabic comma, comma
🦸🏼‍♀	good, hero, heroine, medium-fair skin, superpower, woman, woman superhero, woman superhero: medium-fair skin
🦸🏽‍♀	good, hero, heroine, medium skin, superpower, woman, woman superhero, woman superhero: medium skin
🦸🏾‍♀	good, hero, heroine, medium-dark skin, superpower, woman, woman superhero, woman superhero: medium-dark skin
🦸🏿‍♀	dark skin, good, hero, heroine, superpower, woman, woman superhero, woman superhero: dark skin
🦹🏻	Fair skin, criminal, evil, superpower, supervillain, supervillain: Fair skin, villain
🦹🏼	criminal, evil, medium-fair skin, superpower, supervillain, supervillain: medium-fair skin, villain
🦹🏽	criminal, evil, medium skin, superpower, supervillain, supervillain: medium skin, villain
🦹🏾	criminal, evil, medium-dark skin, superpower, supervillain, supervillain: medium-dark skin, villain
🦹🏿	criminal, dark skin, evil, superpower, supervillain, supervillain: dark skin, villain
🦹🏻‍♂	Fair skin, criminal, evil, man, man supervillain, man supervillain: Fair skin, superpower, villain
🦹🏼‍♂	criminal, evil, man, man supervillain, man supervillain: medium-fair skin, medium-fair skin, superpower, villain
🦹🏽‍♂	criminal, evil, man, man supervillain, man supervillain: medium skin, medium skin, superpower, villain
🦹🏾‍♂	criminal, evil, man, man supervillain, man supervillain: medium-dark skin, medium-dark skin, superpower, villain
🦹🏿‍♂	criminal, dark skin, evil, man, man supervillain, man supervillain: dark skin, superpower, villain
🦹🏻‍♀	Fair skin, criminal, evil, superpower, villain, woman, woman supervillain, woman supervillain: Fair skin
🦹🏼‍♀	criminal, evil, medium-fair skin, superpower, villain, woman, woman supervillain, woman supervillain: medium-fair skin
🦹🏽‍♀	criminal, evil, medium skin, superpower, villain, woman, woman supervillain, woman supervillain: medium skin
🦹🏾‍♀	criminal, evil, medium-dark skin, superpower, villain, woman, woman supervillain, woman supervillain: medium-dark skin
🦹🏿‍♀	criminal, dark skin, evil, superpower, villain, woman, woman supervillain, woman supervillain: dark skin
🧙🏻	Fair skin, mage, mage: Fair skin, sorcerer, sorceress, witch, wizard
🧙🏼	mage, mage: medium-fair skin, medium-fair skin, sorcerer, sorceress, witch, wizard
🧙🏽	mage, mage: medium skin, medium skin, sorcerer, sorceress, witch, wizard
🧙🏾	mage, mage: medium-dark skin, medium-dark skin, sorcerer, sorceress, witch, wizard
🧙🏿	dark skin, mage, mage: dark skin, sorcerer, sorceress, witch, wizard
🧙🏻‍♂	Fair skin, man mage, man mage: Fair skin, sorcerer, wizard
🧙🏼‍♂	man mage, man mage: medium-fair skin, medium-fair skin, sorcerer, wizard
🧙🏽‍♂	man mage, man mage: medium skin, medium skin, sorcerer, wizard
🧙🏾‍♂	man mage, man mage: medium-dark skin, medium-dark skin, sorcerer, wizard
🧙🏿‍♂	dark skin, man mage, man mage: dark skin, sorcerer, wizard
🧙🏻‍♀	Fair skin, sorceress, witch, woman mage, woman mage: Fair skin
🧙🏼‍♀	medium-fair skin, sorceress, witch, woman mage, woman mage: medium-fair skin
🧙🏽‍♀	medium skin, sorceress, witch, woman mage, woman mage: medium skin
🧙🏾‍♀	medium-dark skin, sorceress, witch, woman mage, woman mage: medium-dark skin
🧙🏿‍♀	dark skin, sorceress, witch, woman mage, woman mage: dark skin
🧚🏻	Fair skin, Oberon, Puck, Titania, fairy, fairy: Fair skin
🧚🏼	Oberon, Puck, Titania, fairy, fairy: medium-fair skin, medium-fair skin
🧚🏽	Oberon, Puck, Titania, fairy, fairy: medium skin, medium skin
🧚🏾	Oberon, Puck, Titania, fairy, fairy: medium-dark skin, medium-dark skin
🧚🏿	Oberon, Puck, Titania, dark skin, fairy, fairy: dark skin
🧚🏻‍♂	Fair skin, Oberon, Puck, man fairy, man fairy: Fair skin
🧚🏼‍♂	Oberon, Puck, man fairy, man fairy: medium-fair skin, medium-fair skin
🧚🏽‍♂	Oberon, Puck, man fairy, man fairy: medium skin, medium skin
🧚🏾‍♂	Oberon, Puck, man fairy, man fairy: medium-dark skin, medium-dark skin
🧚🏿‍♂	Oberon, Puck, dark skin, man fairy, man fairy: dark skin
🧚🏻‍♀	Fair skin, Titania, woman fairy, woman fairy: Fair skin
🧚🏼‍♀	Titania, medium-fair skin, woman fairy, woman fairy: medium-fair skin
🧚🏽‍♀	Titania, medium skin, woman fairy, woman fairy: medium skin
🧚🏾‍♀	Titania, medium-dark skin, woman fairy, woman fairy: medium-dark skin
🧚🏿‍♀	Titania, dark skin, woman fairy, woman fairy: dark skin
🧛🏻	Dracula, Fair skin, undead, vampire, vampire: Fair skin
🧛🏼	Dracula, medium-fair skin, undead, vampire, vampire: medium-fair skin
🧛🏽	Dracula, medium skin, undead, vampire, vampire: medium skin
🧛🏾	Dracula, medium-dark skin, undead, vampire, vampire: medium-dark skin
🧛🏿	Dracula, dark skin, undead, vampire, vampire: dark skin
🧛🏻‍♂	Dracula, Fair skin, man vampire, man vampire: Fair skin, undead
🧛🏼‍♂	Dracula, man vampire, man vampire: medium-fair skin, medium-fair skin, undead
🧛🏽‍♂	Dracula, man vampire, man vampire: medium skin, medium skin, undead
🧛🏾‍♂	Dracula, man vampire, man vampire: medium-dark skin, medium-dark skin, undead
🧛🏿‍♂	Dracula, dark skin, man vampire, man vampire: dark skin, undead
🧛🏻‍♀	Fair skin, undead, woman vampire, woman vampire: Fair skin
🧛🏼‍♀	medium-fair skin, undead, woman vampire, woman vampire: medium-fair skin
🧛🏽‍♀	medium skin, undead, woman vampire, woman vampire: medium skin
🧛🏾‍♀	medium-dark skin, undead, woman vampire, woman vampire: medium-dark skin
🧛🏿‍♀	dark skin, undead, woman vampire, woman vampire: dark skin
🧜🏻	Fair skin, mermaid, merman, merperson, merperson: Fair skin, merwoman
🧜🏼	medium-fair skin, mermaid, merman, merperson, merperson: medium-fair skin, merwoman
🧜🏽	medium skin, mermaid, merman, merperson, merperson: medium skin, merwoman
🧜🏾	medium-dark skin, mermaid, merman, merperson, merperson: medium-dark skin, merwoman
🧜🏿	dark skin, mermaid, merman, merperson, merperson: dark skin, merwoman
🧜🏻‍♂	Fair skin, Triton, merman, merman: Fair skin
🧜🏼‍♂	Triton, medium-fair skin, merman, merman: medium-fair skin
🧜🏽‍♂	Triton, medium skin, merman, merman: medium skin
🧜🏾‍♂	Triton, medium-dark skin, merman, merman: medium-dark skin
🧜🏿‍♂	Triton, dark skin, merman, merman: dark skin
🧜🏻‍♀	Fair skin, mermaid, mermaid: Fair skin, merwoman
🧜🏼‍♀	medium-fair skin, mermaid, mermaid: medium-fair skin, merwoman
🧜🏽‍♀	medium skin, mermaid, mermaid: medium skin, merwoman
🧜🏾‍♀	medium-dark skin, mermaid, mermaid: medium-dark skin, merwoman
🧜🏿‍♀	dark skin, mermaid, mermaid: dark skin, merwoman
🧝🏻	Fair skin, elf, elf: Fair skin, magical
🧝🏼	elf, elf: medium-fair skin, magical, medium-fair skin
🧝🏽	elf, elf: medium skin, magical, medium skin
🧝🏾	elf, elf: medium-dark skin, magical, medium-dark skin
🧝🏿	dark skin, elf, elf: dark skin, magical
🧝🏻‍♂	Fair skin, magical, man elf, man elf: Fair skin
🧝🏼‍♂	magical, man elf, man elf: medium-fair skin, medium-fair skin
🧝🏽‍♂	magical, man elf, man elf: medium skin, medium skin
🧝🏾‍♂	magical, man elf, man elf: medium-dark skin, medium-dark skin
🧝🏿‍♂	dark skin, magical, man elf, man elf: dark skin
🧝🏻‍♀	Fair skin, magical, woman elf, woman elf: Fair skin
🧝🏼‍♀	magical, medium-fair skin, woman elf, woman elf: medium-fair skin
🧝🏽‍♀	magical, medium skin, woman elf, woman elf: medium skin
🧝🏾‍♀	magical, medium-dark skin, woman elf, woman elf: medium-dark skin
🧝🏿‍♀	dark skin, magical, woman elf, woman elf: dark skin
💆	face, massage, massage karwaata vyakti, salon
💆🏻	Fair skin, face, massage, massage karwaata vyakti, massage karwaata vyakti: Fair skin, salon
💆🏼	face, massage, massage karwaata vyakti, massage karwaata vyakti: medium-fair skin, medium-fair skin, salon
💆🏽	face, massage, massage karwaata vyakti, massage karwaata vyakti: medium skin, medium skin, salon
💆🏾	face, massage, massage karwaata vyakti, massage karwaata vyakti: medium-dark skin, medium-dark skin, salon
💆🏿	dark skin, face, massage, massage karwaata vyakti, massage karwaata vyakti: dark skin, salon
💆‍♂	face, man, massage, massage karwaata aadmi
💆🏻‍♂	Fair skin, face, man, massage, massage karwaata aadmi, massage karwaata aadmi: Fair skin
💆🏼‍♂	face, man, massage, massage karwaata aadmi, massage karwaata aadmi: medium-fair skin, medium-fair skin
💆🏽‍♂	face, man, massage, massage karwaata aadmi, massage karwaata aadmi: medium skin, medium skin
💆🏾‍♂	face, man, massage, massage karwaata aadmi, massage karwaata aadmi: medium-dark skin, medium-dark skin
💆🏿‍♂	dark skin, face, man, massage, massage karwaata aadmi, massage karwaata aadmi: dark skin
💆‍♀	face, massage, massage karwaati mahila, woman
💆🏻‍♀	Fair skin, face, massage, massage karwaati mahila, massage karwaati mahila: Fair skin, woman
💆🏼‍♀	face, massage, massage karwaati mahila, massage karwaati mahila: medium-fair skin, medium-fair skin, woman
💆🏽‍♀	face, massage, massage karwaati mahila, massage karwaati mahila: medium skin, medium skin, woman
💆🏾‍♀	face, massage, massage karwaati mahila, massage karwaati mahila: medium-dark skin, medium-dark skin, woman
💆🏿‍♀	dark skin, face, massage, massage karwaati mahila, massage karwaati mahila: dark skin, woman
💇	barber, beauty, haircut, haircut leta vyakti, parlor
💇🏻	Fair skin, barber, beauty, haircut, haircut leta vyakti, haircut leta vyakti: Fair skin, parlor
💇🏼	barber, beauty, haircut, haircut leta vyakti, haircut leta vyakti: medium-fair skin, medium-fair skin, parlor
💇🏽	barber, beauty, haircut, haircut leta vyakti, haircut leta vyakti: medium skin, medium skin, parlor
💇🏾	barber, beauty, haircut, haircut leta vyakti, haircut leta vyakti: medium-dark skin, medium-dark skin, parlor
💇🏿	barber, beauty, dark skin, haircut, haircut leta vyakti, haircut leta vyakti: dark skin, parlor
💇‍♂	haircut, haircut leta aadmi, man
💇🏻‍♂	Fair skin, haircut, haircut leta aadmi, haircut leta aadmi: Fair skin, man
💇🏼‍♂	haircut, haircut leta aadmi, haircut leta aadmi: medium-fair skin, man, medium-fair skin
💇🏽‍♂	haircut, haircut leta aadmi, haircut leta aadmi: medium skin, man, medium skin
💇🏾‍♂	haircut, haircut leta aadmi, haircut leta aadmi: medium-dark skin, man, medium-dark skin
💇🏿‍♂	dark skin, haircut, haircut leta aadmi, haircut leta aadmi: dark skin, man
💇‍♀	haircut, haircut leti mahila, woman
💇🏻‍♀	Fair skin, haircut, haircut leti mahila, haircut leti mahila: Fair skin, woman
💇🏼‍♀	haircut, haircut leti mahila, haircut leti mahila: medium-fair skin, medium-fair skin, woman
💇🏽‍♀	haircut, haircut leti mahila, haircut leti mahila: medium skin, medium skin, woman
💇🏾‍♀	haircut, haircut leti mahila, haircut leti mahila: medium-dark skin, medium-dark skin, woman
💇🏿‍♀	dark skin, haircut, haircut leti mahila, haircut leti mahila: dark skin, woman
🚶	hike, walk, walk karta vyakti, walking
🚶🏻	Fair skin, hike, walk, walk karta vyakti, walk karta vyakti: Fair skin, walking
🚶🏼	hike, medium-fair skin, walk, walk karta vyakti, walk karta vyakti: medium-fair skin, walking
🚶🏽	hike, medium skin, walk, walk karta vyakti, walk karta vyakti: medium skin, walking
🚶🏾	hike, medium-dark skin, walk, walk karta vyakti, walk karta vyakti: medium-dark skin, walking
🚶🏿	dark skin, hike, walk, walk karta vyakti, walk karta vyakti: dark skin, walking
🚶‍♂	hike, man, walk, walk karta aadmi
🚶🏻‍♂	Fair skin, hike, man, walk, walk karta aadmi, walk karta aadmi: Fair skin
🚶🏼‍♂	hike, man, medium-fair skin, walk, walk karta aadmi, walk karta aadmi: medium-fair skin
🚶🏽‍♂	hike, man, medium skin, walk, walk karta aadmi, walk karta aadmi: medium skin
🚶🏾‍♂	hike, man, medium-dark skin, walk, walk karta aadmi, walk karta aadmi: medium-dark skin
🚶🏿‍♂	dark skin, hike, man, walk, walk karta aadmi, walk karta aadmi: dark skin
🚶‍♀	hike, walk, walk karti mahila, woman
🚶🏻‍♀	Fair skin, hike, walk, walk karti mahila, walk karti mahila: Fair skin, woman
🚶🏼‍♀	hike, medium-fair skin, walk, walk karti mahila, walk karti mahila: medium-fair skin, woman
🚶🏽‍♀	hike, medium skin, walk, walk karti mahila, walk karti mahila: medium skin, woman
🚶🏾‍♀	hike, medium-dark skin, walk, walk karti mahila, walk karti mahila: medium-dark skin, woman
🚶🏿‍♀	dark skin, hike, walk, walk karti mahila, walk karti mahila: dark skin, woman
🧍	khada hua vyakti, stand, standing
🧍🏻	Fair skin, khada hua vyakti, khada hua vyakti: Fair skin, stand, standing
🧍🏼	khada hua vyakti, khada hua vyakti: medium-fair skin, medium-fair skin, stand, standing
🧍🏽	khada hua vyakti, khada hua vyakti: medium skin, medium skin, stand, standing
🧍🏾	khada hua vyakti, khada hua vyakti: medium-dark skin, medium-dark skin, stand, standing
🧍🏿	dark skin, khada hua vyakti, khada hua vyakti: dark skin, stand, standing
🧍‍♂	khada aadmi, man
🧍🏻‍♂	Fair skin, khada aadmi, khada aadmi: Fair skin, man
🧍🏼‍♂	khada aadmi, khada aadmi: medium-fair skin, man, medium-fair skin
🧍🏽‍♂	khada aadmi, khada aadmi: medium skin, man, medium skin
🧍🏾‍♂	khada aadmi, khada aadmi: medium-dark skin, man, medium-dark skin
🧍🏿‍♂	dark skin, khada aadmi, khada aadmi: dark skin, man
🧍‍♀	khadi aurat, standing
🧍🏻‍♀	Fair skin, khadi aurat, khadi aurat: Fair skin, standing
🧍🏼‍♀	khadi aurat, khadi aurat: medium-fair skin, medium-fair skin, standing
🧍🏽‍♀	khadi aurat, khadi aurat: medium skin, medium skin, standing
🧍🏾‍♀	khadi aurat, khadi aurat: medium-dark skin, medium-dark skin, standing
🧍🏿‍♀	dark skin, khadi aurat, khadi aurat: dark skin, standing
🧎	kneel, kneeling, knees par baitha vyakti
🧎🏻	Fair skin, kneel, kneeling, knees par baitha vyakti, knees par baitha vyakti: Fair skin
🧎🏼	kneel, kneeling, knees par baitha vyakti, knees par baitha vyakti: medium-fair skin, medium-fair skin
🧎🏽	kneel, kneeling, knees par baitha vyakti, knees par baitha vyakti: medium skin, medium skin
🧎🏾	kneel, kneeling, knees par baitha vyakti, knees par baitha vyakti: medium-dark skin, medium-dark skin
🧎🏿	dark skin, kneel, kneeling, knees par baitha vyakti, knees par baitha vyakti: dark skin
🧎‍♂	aadmi, knees par baitha aadmi, knees par baithna
🧎🏻‍♂	Fair skin, aadmi, knees par baitha aadmi, knees par baitha aadmi: Fair skin, knees par baithna
🧎🏼‍♂	aadmi, knees par baitha aadmi, knees par baitha aadmi: medium-fair skin, knees par baithna, medium-fair skin
🧎🏽‍♂	aadmi, knees par baitha aadmi, knees par baitha aadmi: medium skin, knees par baithna, medium skin
