_	dolna smužka, pódsmužka, smužka
🙍🏼‍♀	coło ropiś, srjejźnoswětła barwa kóže, woblico, wobuzna žeńska, wobuzna žeńska: srjejźnoswětła barwa kóže, žeńska
🙍🏽‍♀	coło ropiś, woblico, wobuzna žeńska, wobuzna žeńska: wósrědna barwa kóže, wósrědna barwa kóže, žeńska
🙍🏾‍♀	coło ropiś, srjejźnośamna barwa kóže, woblico, wobuzna žeńska, wobuzna žeńska: srjejźnośamna barwa kóže, žeńska
🙍🏿‍♀	coło ropiś, woblico, wobuzna žeńska, wobuzna žeńska: śamna barwa kóže, śamna barwa kóže, žeńska
🙎	prempleca wósoba, premplenje
🙎🏻	prempleca wósoba, prempleca wósoba: swětła barwa kóže, premplenje, swětła barwa kóže
🙎🏼	prempleca wósoba, prempleca wósoba: srjejźnoswětła barwa kóže, premplenje, srjejźnoswětła barwa kóže
🙎🏽	prempleca wósoba, prempleca wósoba: wósrědna barwa kóže, premplenje, wósrědna barwa kóže
🙎🏾	prempleca wósoba, prempleca wósoba: srjejźnośamna barwa kóže, premplenje, srjejźnośamna barwa kóže
🙎🏿	prempleca wósoba, prempleca wósoba: śamna barwa kóže, premplenje, śamna barwa kóže
🙎‍♂	muski, premplecy muski, prempliś, woblico
🙎🏻‍♂	muski, premplecy muski, premplecy muski: swětła barwa kóže, prempliś, swětła barwa kóže, woblico
🙎🏼‍♂	muski, premplecy muski, premplecy muski: srjejźnoswětła barwa kóže, prempliś, srjejźnoswětła barwa kóže, woblico
🙎🏽‍♂	muski, premplecy muski, premplecy muski: wósrědna barwa kóže, prempliś, woblico, wósrědna barwa kóže
🙎🏾‍♂	muski, premplecy muski, premplecy muski: srjejźnośamna barwa kóže, prempliś, srjejźnośamna barwa kóže, woblico
🙎🏿‍♂	muski, premplecy muski, premplecy muski: śamna barwa kóže, prempliś, woblico, śamna barwa kóže
🙎‍♀	prempleca žeńska, prempliś, woblico, žeńska
🙎🏻‍♀	prempleca žeńska, prempleca žeńska: swětła barwa kóže, prempliś, swětła barwa kóže, woblico, žeńska
🙎🏼‍♀	prempleca žeńska, prempleca žeńska: srjejźnoswětła barwa kóže, prempliś, srjejźnoswětła barwa kóže, woblico, žeńska
🙎🏽‍♀	prempleca žeńska, prempleca žeńska: wósrědna barwa kóže, prempliś, woblico, wósrědna barwa kóže, žeńska
🙎🏾‍♀	prempleca žeńska, prempleca žeńska: srjejźnośamna barwa kóže, prempliś, srjejźnośamna barwa kóže, woblico, žeńska
🙎🏿‍♀	prempleca žeńska, prempleca žeńska: śamna barwa kóže, prempliś, woblico, śamna barwa kóže, žeńska
🙅	gesta "ně", wósoba z pśekśicnjonyma rukoma, x, zakazane
🙅🏻	gesta "ně", swětła barwa kóže, wósoba z pśekśicnjonyma rukoma, wósoba z pśekśicnjonyma rukoma: swětła barwa kóže, x, zakazane
🙅🏼	gesta "ně", srjejźnoswětła barwa kóže, wósoba z pśekśicnjonyma rukoma, wósoba z pśekśicnjonyma rukoma: srjejźnoswětła barwa kóže, x, zakazane
🙅🏽	gesta "ně", wósoba z pśekśicnjonyma rukoma, wósoba z pśekśicnjonyma rukoma: wósrědna barwa kóže, wósrědna barwa kóže, x, zakazane
🙅🏾	gesta "ně", srjejźnośamna barwa kóže, wósoba z pśekśicnjonyma rukoma, wósoba z pśekśicnjonyma rukoma: srjejźnośamna barwa kóže, x, zakazane
🙅🏿	gesta "ně", wósoba z pśekśicnjonyma rukoma, wósoba z pśekśicnjonyma rukoma: śamna barwa kóže, x, zakazane, śamna barwa kóže
🙅‍♂	gesta "ně", muski, muski z pśekśicnjonyma rukoma, ruce, woblico, zakazane
🙅🏻‍♂	gesta "ně", muski, muski z pśekśicnjonyma rukoma, muski z pśekśicnjonyma rukoma: swětła barwa kóže, ruce, swětła barwa kóže, woblico, zakazane
🙅🏼‍♂	gesta "ně", muski, muski z pśekśicnjonyma rukoma, muski z pśekśicnjonyma rukoma: srjejźnoswětła barwa kóže, ruce, srjejźnoswětła barwa kóže, woblico, zakazane
🙅🏽‍♂	gesta "ně", muski, muski z pśekśicnjonyma rukoma, muski z pśekśicnjonyma rukoma: wósrědna barwa kóže, ruce, woblico, wósrědna barwa kóže, zakazane
🙅🏾‍♂	gesta "ně", muski, muski z pśekśicnjonyma rukoma, muski z pśekśicnjonyma rukoma: srjejźnośamna barwa kóže, ruce, srjejźnośamna barwa kóže, woblico, zakazane
🙅🏿‍♂	gesta "ně", muski, muski z pśekśicnjonyma rukoma, muski z pśekśicnjonyma rukoma: śamna barwa kóže, ruce, woblico, zakazane, śamna barwa kóže
🙅‍♀	gesta, gesta "ně", ruce, woblico, zakazane, žeńska z pśekśicnjonyma rukoma
🙅🏻‍♀	gesta, gesta "ně", ruce, swětła barwa kóže, woblico, zakazane, žeńska z pśekśicnjonyma rukoma, žeńska z pśekśicnjonyma rukoma: swětła barwa kóže
🙅🏼‍♀	gesta, gesta "ně", ruce, srjejźnoswětła barwa kóže, woblico, zakazane, žeńska z pśekśicnjonyma rukoma, žeńska z pśekśicnjonyma rukoma: srjejźnoswětła barwa kóže
🙅🏽‍♀	gesta, gesta "ně", ruce, woblico, wósrědna barwa kóže, zakazane, žeńska z pśekśicnjonyma rukoma, žeńska z pśekśicnjonyma rukoma: wósrědna barwa kóže
🙅🏾‍♀	gesta, gesta "ně", ruce, srjejźnośamna barwa kóže, woblico, zakazane, žeńska z pśekśicnjonyma rukoma, žeńska z pśekśicnjonyma rukoma: srjejźnośamna barwa kóže
🙅🏿‍♀	gesta, gesta "ně", ruce, woblico, zakazane, śamna barwa kóže, žeńska z pśekśicnjonyma rukoma, žeńska z pśekśicnjonyma rukoma: śamna barwa kóže
🙆	gesta, o, ruce, wósoba z rukoma na głowje, wšykno w rěchu
🙆🏻	gesta, o, ruce, swětła barwa kóže, wósoba z rukoma na głowje, wósoba z rukoma na głowje: swětła barwa kóže, wšykno w rěchu
🙆🏼	gesta, o, ruce, srjejźnoswětła barwa kóže, wósoba z rukoma na głowje, wósoba z rukoma na głowje: srjejźnoswětła barwa kóže, wšykno w rěchu
🙆🏽	gesta, o, ruce, wósoba z rukoma na głowje, wósoba z rukoma na głowje: wósrědna barwa kóže, wósrědna barwa kóže, wšykno w rěchu
🙆🏾	gesta, o, ruce, srjejźnośamna barwa kóže, wósoba z rukoma na głowje, wósoba z rukoma na głowje: srjejźnośamna barwa kóže, wšykno w rěchu
🙆🏿	gesta, o, ruce, wósoba z rukoma na głowje, wósoba z rukoma na głowje: śamna barwa kóže, wšykno w rěchu, śamna barwa kóže
🙆‍♂	gesta "wšykno w rěchu", muski, muski z rukoma na głowje, ruce, woblico
🙆🏻‍♂	gesta "wšykno w rěchu", muski, muski z rukoma na głowje, muski z rukoma na głowje: swětła barwa kóže, ruce, swětła barwa kóže, woblico
🙆🏼‍♂	gesta "wšykno w rěchu", muski, muski z rukoma na głowje, muski z rukoma na głowje: srjejźnoswětła barwa kóže, ruce, srjejźnoswětła barwa kóže, woblico
🙆🏽‍♂	gesta "wšykno w rěchu", muski, muski z rukoma na głowje, muski z rukoma na głowje: wósrědna barwa kóže, ruce, woblico, wósrědna barwa kóže
🙆🏾‍♂	gesta "wšykno w rěchu", muski, muski z rukoma na głowje, muski z rukoma na głowje: srjejźnośamna barwa kóže, ruce, srjejźnośamna barwa kóže, woblico
🙆🏿‍♂	gesta "wšykno w rěchu", muski, muski z rukoma na głowje, muski z rukoma na głowje: śamna barwa kóže, ruce, woblico, śamna barwa kóže
🙆‍♀	gesta "wšykno w rěchu", ruce, woblico, žeńska, žeńska z rukoma na głowje
🙆🏻‍♀	gesta "wšykno w rěchu", ruce, swětła barwa kóže, woblico, žeńska, žeńska z rukoma na głowje, žeńska z rukoma na głowje: swětła barwa kóže
🙆🏼‍♀	gesta "wšykno w rěchu", ruce, srjejźnoswětła barwa kóže, woblico, žeńska, žeńska z rukoma na głowje, žeńska z rukoma na głowje: srjejźnoswětła barwa kóže
🙆🏽‍♀	gesta "wšykno w rěchu", ruce, woblico, wósrědna barwa kóže, žeńska, žeńska z rukoma na głowje, žeńska z rukoma na głowje: wósrědna barwa kóže
🙆🏾‍♀	gesta "wšykno w rěchu", ruce, srjejźnośamna barwa kóže, woblico, žeńska, žeńska z rukoma na głowje, žeńska z rukoma na głowje: srjejźnośamna barwa kóže
🙆🏿‍♀	gesta "wšykno w rěchu", ruce, woblico, śamna barwa kóže, žeńska, žeńska z rukoma na głowje, žeńska z rukoma na głowje: śamna barwa kóže
💁	info-woknyško-sobuźěłaśeŕ (ka), informacije, pomoc, ruka, wósoba z dłonju górjej
💁🏻	info-woknyško-sobuźěłaśeŕ (ka), informacije, pomoc, ruka, swětła barwa kóže, wósoba z dłonju górjej, wósoba z dłonju górjej: swětła barwa kóže
💁🏼	info-woknyško-sobuźěłaśeŕ (ka), informacije, pomoc, ruka, srjejźnoswětła barwa kóže, wósoba z dłonju górjej, wósoba z dłonju górjej: srjejźnoswětła barwa kóže
💁🏽	info-woknyško-sobuźěłaśeŕ (ka), informacije, pomoc, ruka, wósoba z dłonju górjej, wósoba z dłonju górjej: wósrědna barwa kóže, wósrědna barwa kóže
💁🏾	info-woknyško-sobuźěłaśeŕ (ka), informacije, pomoc, ruka, srjejźnośamna barwa kóže, wósoba z dłonju górjej, wósoba z dłonju górjej: srjejźnośamna barwa kóže
💁🏿	info-woknyško-sobuźěłaśeŕ (ka), informacije, pomoc, ruka, wósoba z dłonju górjej, wósoba z dłonju górjej: śamna barwa kóže, śamna barwa kóže
💁‍♂	informacije, ironija, muski, muski z dłonju górjej, pomoc, ruka, sobuźěłaśeŕ(ka) informacije
💁🏻‍♂	informacije, ironija, muski, muski z dłonju górjej, muski z dłonju górjej: swětła barwa kóže, pomoc, ruka, sobuźěłaśeŕ(ka) informacije, swětła barwa kóže
💁🏼‍♂	informacije, ironija, muski, muski z dłonju górjej, muski z dłonju górjej: srjejźnoswětła barwa kóže, pomoc, ruka, sobuźěłaśeŕ(ka) informacije, srjejźnoswětła barwa kóže
💁🏽‍♂	informacije, ironija, muski, muski z dłonju górjej, muski z dłonju górjej: wósrědna barwa kóže, pomoc, ruka, sobuźěłaśeŕ(ka) informacije, wósrědna barwa kóže
💁🏾‍♂	informacije, ironija, muski, muski z dłonju górjej, muski z dłonju górjej: srjejźnośamna barwa kóže, pomoc, ruka, sobuźěłaśeŕ(ka) informacije, srjejźnośamna barwa kóže
💁🏿‍♂	informacije, ironija, muski, muski z dłonju górjej, muski z dłonju górjej: śamna barwa kóže, pomoc, ruka, sobuźěłaśeŕ(ka) informacije, śamna barwa kóže
💁‍♀	informacije, ironija, pomoc, ruka, sobuźěłaśeŕka informacije, žeńska, žeńska z dłonju górjej
💁🏻‍♀	informacije, ironija, pomoc, ruka, sobuźěłaśeŕka informacije, swětła barwa kóže, žeńska, žeńska z dłonju górjej, žeńska z dłonju górjej: swětła barwa kóže
💁🏼‍♀	informacije, ironija, pomoc, ruka, sobuźěłaśeŕka informacije, srjejźnoswětła barwa kóže, žeńska, žeńska z dłonju górjej, žeńska z dłonju górjej: srjejźnoswětła barwa kóže
💁🏽‍♀	informacije, ironija, pomoc, ruka, sobuźěłaśeŕka informacije, wósrědna barwa kóže, žeńska, žeńska z dłonju górjej, žeńska z dłonju górjej: wósrědna barwa kóže
💁🏾‍♀	informacije, ironija, pomoc, ruka, sobuźěłaśeŕka informacije, srjejźnośamna barwa kóže, žeńska, žeńska z dłonju górjej, žeńska z dłonju górjej: srjejźnośamna barwa kóže
💁🏿‍♀	informacije, ironija, pomoc, ruka, sobuźěłaśeŕka informacije, śamna barwa kóže, žeńska, žeńska z dłonju górjej, žeńska z dłonju górjej: śamna barwa kóže
🙋	gesta dobyárja, wósoba z pózwignjoneju ruku
🙋🏻	gesta dobyárja, swětła barwa kóže, wósoba z pózwignjoneju ruku, wósoba z pózwignjoneju ruku: swětła barwa kóže
🙋🏼	gesta dobyárja, srjejźnoswětła barwa kóže, wósoba z pózwignjoneju ruku, wósoba z pózwignjoneju ruku: srjejźnoswětła barwa kóže
🙋🏽	gesta dobyárja, wósoba z pózwignjoneju ruku, wósoba z pózwignjoneju ruku: wósrědna barwa kóže, wósrědna barwa kóže
🙋🏾	gesta dobyárja, srjejźnośamna barwa kóže, wósoba z pózwignjoneju ruku, wósoba z pózwignjoneju ruku: srjejźnośamna barwa kóže
🙋🏿	gesta dobyárja, wósoba z pózwignjoneju ruku, wósoba z pózwignjoneju ruku: śamna barwa kóže, śamna barwa kóže
🙋‍♂	gesta, gesta dobyśarja, muski, muski z pózwignjoneju ruku
🙋🏻‍♂	gesta, gesta dobyśarja, muski, muski z pózwignjoneju ruku, muski z pózwignjoneju ruku: swětła barwa kóže, swětła barwa kóže
🙋🏼‍♂	gesta, gesta dobyśarja, muski, muski z pózwignjoneju ruku, muski z pózwignjoneju ruku: srjejźnoswětła barwa kóže, srjejźnoswětła barwa kóže
🙋🏽‍♂	gesta, gesta dobyśarja, muski, muski z pózwignjoneju ruku, muski z pózwignjoneju ruku: wósrědna barwa kóže, wósrědna barwa kóže
🙋🏾‍♂	gesta, gesta dobyśarja, muski, muski z pózwignjoneju ruku, muski z pózwignjoneju ruku: srjejźnośamna barwa kóže, srjejźnośamna barwa kóže
🙋🏿‍♂	gesta, gesta dobyśarja, muski, muski z pózwignjoneju ruku, muski z pózwignjoneju ruku: śamna barwa kóže, śamna barwa kóže
🙋‍♀	gesta, gesta dobyśarja, žeńska, žeńska z pózwignjoneju ruku
🙋🏻‍♀	gesta, gesta dobyśarja, swětła barwa kóže, žeńska, žeńska z pózwignjoneju ruku, žeńska z pózwignjoneju ruku: swětła barwa kóže
🙋🏼‍♀	gesta, gesta dobyśarja, srjejźnoswětła barwa kóže, žeńska, žeńska z pózwignjoneju ruku, žeńska z pózwignjoneju ruku: srjejźnoswětła barwa kóže
🙋🏽‍♀	gesta, gesta dobyśarja, wósrědna barwa kóže, žeńska, žeńska z pózwignjoneju ruku, žeńska z pózwignjoneju ruku: wósrědna barwa kóže
🙋🏾‍♀	gesta, gesta dobyśarja, srjejźnośamna barwa kóže, žeńska, žeńska z pózwignjoneju ruku, žeńska z pózwignjoneju ruku: srjejźnośamna barwa kóže
🙋🏿‍♀	gesta, gesta dobyśarja, śamna barwa kóže, žeńska, žeńska z pózwignjoneju ruku, žeńska z pózwignjoneju ruku: śamna barwa kóže
🧏	bźez barierow, głuchy, njesłyšajuca wósoba, njesłyšajuca wósoba słyšaś, njesłyšajucy, wucho
🧏🏻	bźez barierow, głuchy, njesłyšajuca wósoba, njesłyšajuca wósoba słyšaś, njesłyšajuca wósoba: swětła barwa kóže, njesłyšajucy, swětła barwa kóže, wucho
🧏🏼	bźez barierow, głuchy, njesłyšajuca wósoba, njesłyšajuca wósoba słyšaś, njesłyšajuca wósoba: srjejźnoswětła barwa kóže, njesłyšajucy, srjejźnoswětła barwa kóže, wucho
🧏🏽	bźez barierow, głuchy, njesłyšajuca wósoba, njesłyšajuca wósoba słyšaś, njesłyšajuca wósoba: wósrědna barwa kóže, njesłyšajucy, wucho, wósrědna barwa kóže
🧏🏾	bźez barierow, głuchy, njesłyšajuca wósoba, njesłyšajuca wósoba słyšaś, njesłyšajuca wósoba: srjejźnośamna barwa kóže, njesłyšajucy, srjejźnośamna barwa kóže, wucho
🧏🏿	bźez barierow, głuchy, njesłyšajuca wósoba, njesłyšajuca wósoba słyšaś, njesłyšajuca wósoba: śamna barwa kóže, njesłyšajucy, wucho, śamna barwa kóže
🧏‍♂	głuchy, muski, njesłyšajucy, njesłyšajucy muski
🧏🏻‍♂	głuchy, muski, njesłyšajucy, njesłyšajucy muski: swětła barwa kóže, swětła barwa kóže
🧏🏼‍♂	głuchy, muski, njesłyšajucy, njesłyšajucy muski: srjejźnoswětła barwa kóže, srjejźnoswětła barwa kóže
🧏🏽‍♂	głuchy, muski, njesłyšajucy, njesłyšajucy muski: wósrědna barwa kóže, wósrědna barwa kóže
🧏🏾‍♂	głuchy, muski, njesłyšajucy, njesłyšajucy muski: srjejźnośamna barwa kóže, srjejźnośamna barwa kóže
🧏🏿‍♂	głuchy, muski, njesłyšajucy, njesłyšajucy muski: śamna barwa kóže, śamna barwa kóže
🧏‍♀	głuchy, njesłyšajuca žeńska, žeńska
🧏🏻‍♀	głuchy, njesłyšajuca žeńska, njesłyšajuca žeńska: swětła barwa kóže, swětła barwa kóže, žeńska
🧏🏼‍♀	głuchy, njesłyšajuca žeńska, njesłyšajuca žeńska: srjejźnoswětła barwa kóže, srjejźnoswětła barwa kóže, žeńska
🧏🏽‍♀	głuchy, njesłyšajuca žeńska, njesłyšajuca žeńska: wósrědna barwa kóže, wósrědna barwa kóže, žeńska
🧏🏾‍♀	głuchy, njesłyšajuca žeńska, njesłyšajuca žeńska: srjejźnośamna barwa kóže, srjejźnośamna barwa kóže, žeńska
🧏🏿‍♀	głuchy, njesłyšajuca žeńska, njesłyšajuca žeńska: śamna barwa kóže, śamna barwa kóže, žeńska
🙇	gesta, se pókłoniś, se pókłonjeca wósoba, zagronjenje
🙇🏻	gesta, se pókłoniś, se pókłonjeca wósoba, se pókłonjeca wósoba: swětła barwa kóže, swětła barwa kóže, zagronjenje
🙇🏼	gesta, se pókłoniś, se pókłonjeca wósoba, se pókłonjeca wósoba: srjejźnoswětła barwa kóže, srjejźnoswětła barwa kóže, zagronjenje
🙇🏽	gesta, se pókłoniś, se pókłonjeca wósoba, se pókłonjeca wósoba: wósrědna barwa kóže, wósrědna barwa kóže, zagronjenje
🙇🏾	gesta, se pókłoniś, se pókłonjeca wósoba, se pókłonjeca wósoba: srjejźnośamna barwa kóže, srjejźnośamna barwa kóže, zagronjenje
🙇🏿	gesta, se pókłoniś, se pókłonjeca wósoba, se pókłonjeca wósoba: śamna barwa kóže, zagronjenje, śamna barwa kóže
🙇‍♂	muski, pónižnosć, se pókłonjecy muski, se pókłonjecy muski i se pókłoniś
🙇🏻‍♂	muski, pónižnosć, se pókłonjecy muski, se pókłonjecy muski i se pókłoniś, se pókłonjecy muski: swětła barwa kóže, swětła barwa kóže
🙇🏼‍♂	muski, pónižnosć, se pókłonjecy muski, se pókłonjecy muski i se pókłoniś, se pókłonjecy muski: srjejźnoswětła barwa kóže, srjejźnoswětła barwa kóže
