‾	siqisqa, takay, vinculum
🙉	amachasqa, kusillo, kusillo mana saqrayuqwan uyariy, supay, uya, uyariy
🙊	amachasqa, kusillo, kusillo mana saqrayuqwan parlay, parlay, supay, uya
💌	chaski, munay, munay qillqa, qillqa, sunqu
💘	cupido, sunqu wachʼiwan, wachʼi
💝	cinta, sunqu cintawan, valentin
💖	kusisqa, kʼanchasqa, kʼanchasqa sunqu
💗	kusisqa, paqarisqa, paqarisqa sunqu, pulso, tʼikti
💓	patatasqa sunqu, phatatasqa, phatatasqa sunqu, phatatay, tʼipuy
💞	muyusqa, muyusqa sunqukuna
💕	iskay sunqukuna, munay
💟	sunqu, sunqu rikchay
❣️	exclamasion, marka, puntuacion, sunqu exclamasion
💔	pakasqa, pakasqa sunqu, pakay
❤‍🔥	munay, ruphay, sunqu, sunqu ninapi, wakʼa sunqu, ñuqi
❤‍🩹	allichachkan, allichasqa, allichasqa sunqu, allichay kay, allin, qhali kay, qhali kaynin
❤️	puka sunqu, sunqu
🧡	willapi, willapi sunqu
💛	qʼillu, qʼillu sunqu
💚	qʼumir, qʼumir sunqu
💙	anqas, anqas sunqu
💜	kulli, kulli sunqu
🤎	cafe, cafe sunqu, sunqu
🖤	saqra, supay, yana, yana sunqu
🤍	sunqu, yuraq, yuraq sunqu
💋	muchʼa, muchʼa unancha, sirpi
💯	100, chikukuna, hunta, pachaq, pachaq chikukuna
💢	comic, mana allin, phiñakuy, phiñakuy unancha
💥	bum, comic, tupa
💫	comic, muyu muyu, quyllur
💦	chʼiqichisqa, comic, jumpʼi sutukuna, sumpʼi sutukuna, sutʼu
💨	comic, karuman phawachkan, phaway, purichkan
🕳️	t’uqu
💬	glubu, kusi, phukpu, rimana, rimasqa, rimaypa glubun
👁‍🗨	rimasqa phukpupi, testigo, ñawi, ñawi rimasqa phukpupi
🗨️	lluqʼi rimasqa phukpupi, lluq’i rimasqa phukpupi, rimana, rimay
🗯️	paña phiñasqa phukpu, phiñasqa, phiñay, phukpu
💭	glubu, kusi, phukpu, rimana, rimasqa, yuyaypa glubun
💤	comic, puñuy, zzz
👋	maki, qinquykachasqa, qinquykachasqa maki, qinquykachay
👋🏻	chuya qara niraq, maki, qinquykachasqa, qinquykachasqa maki: chuya qara niraq, qinquykachay
👋🏼	maki, qinquykachasqa, qinquykachasqa maki: tunpa chuya qara niraq, qinquykachay, tunpa chuya qara niraq
