‾	siqisqa, takay, vinculum
👩🏼‍🤝‍👩🏾	iskay makikunawan, maki, pitu, tunpa chuya qara niraq, tunpa yana qara niraq, warmi, warmi iskay makikunawan, warmi iskay makikunawan: tunpa chuya qara niraq, tunpa yana qara niraq
👩🏼‍🤝‍👩🏿	iskay makikunawan, maki, pitu, tunpa chuya qara niraq, warmi, warmi iskay makikunawan, warmi iskay makikunawan: tunpa chuya qara niraq, yana qara niraq, yana qara niraq
👩🏽‍🤝‍👩🏻	chuya qara niraq, iskay makikunawan, maki, pitu, tunpa qara niraq, warmi, warmi iskay makikunawan, warmi iskay makikunawan: tunpa qara niraq, chuya qara niraq
👩🏽‍🤝‍👩🏼	iskay makikunawan, maki, pitu, tunpa chuya qara niraq, tunpa qara niraq, warmi, warmi iskay makikunawan, warmi iskay makikunawan: tunpa qara niraq, tunpa chuya qara niraq
👭🏽	iskay makikunawan, maki, pitu, tunpa qara niraq, warmi, warmi iskay makikunawan, warmi iskay makikunawan: tunpa qara niraq
👩🏽‍🤝‍👩🏾	iskay makikunawan, maki, pitu, tunpa qara niraq, tunpa yana qara niraq, warmi, warmi iskay makikunawan, warmi iskay makikunawan: tunpa qara niraq, tunpa yana qara niraq
👩🏽‍🤝‍👩🏿	iskay makikunawan, maki, pitu, tunpa qara niraq, warmi, warmi iskay makikunawan, warmi iskay makikunawan: tunpa qara niraq, yana qara niraq, yana qara niraq
👩🏾‍🤝‍👩🏻	chuya qara niraq, iskay makikunawan, maki, pitu, tunpa yana qara niraq, warmi, warmi iskay makikunawan, warmi iskay makikunawan: tunpa yana qara niraq, chuya qara niraq
👩🏾‍🤝‍👩🏼	iskay makikunawan, maki, pitu, tunpa chuya qara niraq, tunpa yana qara niraq, warmi, warmi iskay makikunawan, warmi iskay makikunawan: tunpa yana qara niraq, tunpa chuya qara niraq
👩🏾‍🤝‍👩🏽	iskay makikunawan, maki, pitu, tunpa qara niraq, tunpa yana qara niraq, warmi, warmi iskay makikunawan, warmi iskay makikunawan: tunpa yana qara niraq, tunpa qara niraq
👭🏾	iskay makikunawan, maki, pitu, tunpa yana qara niraq, warmi, warmi iskay makikunawan, warmi iskay makikunawan: tunpa yana qara niraq
👩🏾‍🤝‍👩🏿	iskay makikunawan, maki, pitu, tunpa yana qara niraq, warmi, warmi iskay makikunawan, warmi iskay makikunawan: tunpa yana qara niraq, yana qara niraq, yana qara niraq
👩🏿‍🤝‍👩🏻	chuya qara niraq, iskay makikunawan, maki, pitu, warmi, warmi iskay makikunawan, warmi iskay makikunawan: yana qara niraq, chuya qara niraq, yana qara niraq
👩🏿‍🤝‍👩🏼	iskay makikunawan, maki, pitu, tunpa chuya qara niraq, warmi, warmi iskay makikunawan, warmi iskay makikunawan: yana qara niraq, tunpa chuya qara niraq, yana qara niraq
👩🏿‍🤝‍👩🏽	iskay makikunawan, maki, pitu, tunpa qara niraq, warmi, warmi iskay makikunawan, warmi iskay makikunawan: yana qara niraq, tunpa qara niraq, yana qara niraq
👩🏿‍🤝‍👩🏾	iskay makikunawan, maki, pitu, tunpa yana qara niraq, warmi, warmi iskay makikunawan, warmi iskay makikunawan: yana qara niraq, tunpa yana qara niraq, yana qara niraq
👭🏿	iskay makikunawan, maki, pitu, warmi, warmi iskay makikunawan, warmi iskay makikunawan: yana qara niraq, yana qara niraq
👫	hapisqa, iskay makikunawan, maki, pitu, runa, warmi, warmi chaymanta runa iskay makikunawan
👫🏻	chuya qara niraq, hapisqa, iskay makikunawan, maki, pitu, runa, warmi, warmi chaymanta runa iskay makikunawan, warmi chaymanta runa iskay makikunawan: chuya qara niraq
👩🏻‍🤝‍👨🏼	chuya qara niraq, hapisqa, iskay makikunawan, maki, pitu, runa, tunpa chuya qara niraq, warmi, warmi chaymanta runa iskay makikunawan, warmi chaymanta runa iskay makikunawan: chuya qara niraq, tunpa chuya qara niraq
👩🏻‍🤝‍👨🏽	chuya qara niraq, hapisqa, iskay makikunawan, maki, pitu, runa, tunpa qara niraq, warmi, warmi chaymanta runa iskay makikunawan, warmi chaymanta runa iskay makikunawan: chuya qara niraq, tunpa qara niraq
👩🏻‍🤝‍👨🏾	chuya qara niraq, hapisqa, iskay makikunawan, maki, pitu, runa, tunpa yana qara niraq, warmi, warmi chaymanta runa iskay makikunawan, warmi chaymanta runa iskay makikunawan: chuya qara niraq, tunpa yana qara niraq
👩🏻‍🤝‍👨🏿	chuya qara niraq, hapisqa, iskay makikunawan, maki, pitu, runa, warmi, warmi chaymanta runa iskay makikunawan, warmi chaymanta runa iskay makikunawan: chuya qara niraq, yana qara niraq, yana qara niraq
👩🏼‍🤝‍👨🏻	chuya qara niraq, hapisqa, iskay makikunawan, maki, pitu, runa, tunpa chuya qara niraq, warmi, warmi chaymanta runa iskay makikunawan, warmi chaymanta runa iskay makikunawan: tunpa chuya qara niraq, chuya qara niraq
👫🏼	hapisqa, iskay makikunawan, maki, pitu, runa, tunpa chuya qara niraq, warmi, warmi chaymanta runa iskay makikunawan, warmi chaymanta runa iskay makikunawan: tunpa chuya qara niraq
👩🏼‍🤝‍👨🏽	hapisqa, iskay makikunawan, maki, pitu, runa, tunpa chuya qara niraq, tunpa qara niraq, warmi, warmi chaymanta runa iskay makikunawan, warmi chaymanta runa iskay makikunawan: tunpa chuya qara niraq, tunpa qara niraq
👩🏼‍🤝‍👨🏾	hapisqa, iskay makikunawan, maki, pitu, runa, tunpa chuya qara niraq, tunpa yana qara niraq, warmi, warmi chaymanta runa iskay makikunawan, warmi chaymanta runa iskay makikunawan: tunpa chuya qara niraq, tunpa yana qara niraq
👩🏼‍🤝‍👨🏿	hapisqa, iskay makikunawan, maki, pitu, runa, tunpa chuya qara niraq, warmi, warmi chaymanta runa iskay makikunawan, warmi chaymanta runa iskay makikunawan: tunpa chuya qara niraq, yana qara niraq, yana qara niraq
👩🏽‍🤝‍👨🏻	chuya qara niraq, hapisqa, iskay makikunawan, maki, pitu, runa, tunpa qara niraq, warmi, warmi chaymanta runa iskay makikunawan, warmi chaymanta runa iskay makikunawan: tunpa qara niraq, chuya qara niraq
👩🏽‍🤝‍👨🏼	hapisqa, iskay makikunawan, maki, pitu, runa, tunpa chuya qara niraq, tunpa qara niraq, warmi, warmi chaymanta runa iskay makikunawan, warmi chaymanta runa iskay makikunawan: tunpa qara niraq, tunpa chuya qara niraq
👫🏽	hapisqa, iskay makikunawan, maki, pitu, runa, tunpa qara niraq, warmi, warmi chaymanta runa iskay makikunawan, warmi chaymanta runa iskay makikunawan: tunpa qara niraq
👩🏽‍🤝‍👨🏾	hapisqa, iskay makikunawan, maki, pitu, runa, tunpa qara niraq, tunpa yana qara niraq, warmi, warmi chaymanta runa iskay makikunawan, warmi chaymanta runa iskay makikunawan: tunpa qara niraq, tunpa yana qara niraq
👩🏽‍🤝‍👨🏿	hapisqa, iskay makikunawan, maki, pitu, runa, tunpa qara niraq, warmi, warmi chaymanta runa iskay makikunawan, warmi chaymanta runa iskay makikunawan: tunpa qara niraq, yana qara niraq, yana qara niraq
👩🏾‍🤝‍👨🏻	chuya qara niraq, hapisqa, iskay makikunawan, maki, pitu, runa, tunpa yana qara niraq, warmi, warmi chaymanta runa iskay makikunawan, warmi chaymanta runa iskay makikunawan: tunpa yana qara niraq, chuya qara niraq
👩🏾‍🤝‍👨🏼	hapisqa, iskay makikunawan, maki, pitu, runa, tunpa chuya qara niraq, tunpa yana qara niraq, warmi, warmi chaymanta runa iskay makikunawan, warmi chaymanta runa iskay makikunawan: tunpa yana qara niraq, tunpa chuya qara niraq
👩🏾‍🤝‍👨🏽	hapisqa, iskay makikunawan, maki, pitu, runa, tunpa qara niraq, tunpa yana qara niraq, warmi, warmi chaymanta runa iskay makikunawan, warmi chaymanta runa iskay makikunawan: tunpa yana qara niraq, tunpa qara niraq
👫🏾	hapisqa, iskay makikunawan, maki, pitu, runa, tunpa yana qara niraq, warmi, warmi chaymanta runa iskay makikunawan, warmi chaymanta runa iskay makikunawan: tunpa yana qara niraq
👩🏾‍🤝‍👨🏿	hapisqa, iskay makikunawan, maki, pitu, runa, tunpa yana qara niraq, warmi, warmi chaymanta runa iskay makikunawan, warmi chaymanta runa iskay makikunawan: tunpa yana qara niraq, yana qara niraq, yana qara niraq
👩🏿‍🤝‍👨🏻	chuya qara niraq, hapisqa, iskay makikunawan, maki, pitu, runa, warmi, warmi chaymanta runa iskay makikunawan, warmi chaymanta runa iskay makikunawan: yana qara niraq, chuya qara niraq, yana qara niraq
👩🏿‍🤝‍👨🏼	hapisqa, iskay makikunawan, maki, pitu, runa, tunpa chuya qara niraq, warmi, warmi chaymanta runa iskay makikunawan, warmi chaymanta runa iskay makikunawan: yana qara niraq, tunpa chuya qara niraq, yana qara niraq
👩🏿‍🤝‍👨🏽	hapisqa, iskay makikunawan, maki, pitu, runa, tunpa qara niraq, warmi, warmi chaymanta runa iskay makikunawan, warmi chaymanta runa iskay makikunawan: yana qara niraq, tunpa qara niraq, yana qara niraq
👩🏿‍🤝‍👨🏾	hapisqa, iskay makikunawan, maki, pitu, runa, tunpa yana qara niraq, warmi, warmi chaymanta runa iskay makikunawan, warmi chaymanta runa iskay makikunawan: yana qara niraq, tunpa yana qara niraq, yana qara niraq
👫🏿	hapisqa, iskay makikunawan, maki, pitu, runa, warmi, warmi chaymanta runa iskay makikunawan, warmi chaymanta runa iskay makikunawan: yana qara niraq, yana qara niraq
👬	Geminis, iskay, iskay makikunawan, runa, runa iskay makikunawan, runakuna, zodiaco
👬🏻	Geminis, chuya qara niraq, iskay, iskay makikunawan, runa, runa iskay makikunawan, runa iskay makikunawan: chuya qara niraq, runakuna, zodiaco
👨🏻‍🤝‍👨🏼	Geminis, chuya qara niraq, iskay, iskay makikunawan, runa, runa iskay makikunawan, runa iskay makikunawan: chuya qara niraq, tunpa chuya qara niraq, runakuna, tunpa chuya qara niraq, zodiaco
👨🏻‍🤝‍👨🏽	Geminis, chuya qara niraq, iskay, iskay makikunawan, runa, runa iskay makikunawan, runa iskay makikunawan: chuya qara niraq, tunpa qara niraq, runakuna, tunpa qara niraq, zodiaco
👨🏻‍🤝‍👨🏾	Geminis, chuya qara niraq, iskay, iskay makikunawan, runa, runa iskay makikunawan, runa iskay makikunawan: chuya qara niraq, tunpa yana qara niraq, runakuna, tunpa yana qara niraq, zodiaco
👨🏻‍🤝‍👨🏿	Geminis, chuya qara niraq, iskay, iskay makikunawan, runa, runa iskay makikunawan, runa iskay makikunawan: chuya qara niraq, yana qara niraq, runakuna, yana qara niraq, zodiaco
👨🏼‍🤝‍👨🏻	Geminis, chuya qara niraq, iskay, iskay makikunawan, runa, runa iskay makikunawan, runa iskay makikunawan: tunpa chuya qara niraq, chuya qara niraq, runakuna, tunpa chuya qara niraq, zodiaco
👬🏼	Geminis, iskay, iskay makikunawan, runa, runa iskay makikunawan, runa iskay makikunawan: tunpa chuya qara niraq, runakuna, tunpa chuya qara niraq, zodiaco
👨🏼‍🤝‍👨🏽	Geminis, iskay, iskay makikunawan, runa, runa iskay makikunawan, runa iskay makikunawan: tunpa chuya qara niraq, tunpa qara niraq, runakuna, tunpa chuya qara niraq, tunpa qara niraq, zodiaco
👨🏼‍🤝‍👨🏾	Geminis, iskay, iskay makikunawan, runa, runa iskay makikunawan, runa iskay makikunawan: tunpa chuya qara niraq, tunpa yana qara niraq, runakuna, tunpa chuya qara niraq, tunpa yana qara niraq, zodiaco
👨🏼‍🤝‍👨🏿	Geminis, iskay, iskay makikunawan, runa, runa iskay makikunawan, runa iskay makikunawan: tunpa chuya qara niraq, yana qara niraq, runakuna, tunpa chuya qara niraq, yana qara niraq, zodiaco
👨🏽‍🤝‍👨🏻	Geminis, chuya qara niraq, iskay, iskay makikunawan, runa, runa iskay makikunawan, runa iskay makikunawan: tunpa qara niraq, chuya qara niraq, runakuna, tunpa qara niraq, zodiaco
👨🏽‍🤝‍👨🏼	Geminis, iskay, iskay makikunawan, runa, runa iskay makikunawan, runa iskay makikunawan: tunpa qara niraq, tunpa chuya qara niraq, runakuna, tunpa chuya qara niraq, tunpa qara niraq, zodiaco
👬🏽	Geminis, iskay, iskay makikunawan, runa, runa iskay makikunawan, runa iskay makikunawan: tunpa qara niraq, runakuna, tunpa qara niraq, zodiaco
👨🏽‍🤝‍👨🏾	Geminis, iskay, iskay makikunawan, runa, runa iskay makikunawan, runa iskay makikunawan: tunpa qara niraq, tunpa yana qara niraq, runakuna, tunpa qara niraq, tunpa yana qara niraq, zodiaco
👨🏽‍🤝‍👨🏿	Geminis, iskay, iskay makikunawan, runa, runa iskay makikunawan, runa iskay makikunawan: tunpa qara niraq, yana qara niraq, runakuna, tunpa qara niraq, yana qara niraq, zodiaco
👨🏾‍🤝‍👨🏻	Geminis, chuya qara niraq, iskay, iskay makikunawan, runa, runa iskay makikunawan, runa iskay makikunawan: tunpa yana qara niraq, chuya qara niraq, runakuna, tunpa yana qara niraq, zodiaco
👨🏾‍🤝‍👨🏼	Geminis, iskay, iskay makikunawan, runa, runa iskay makikunawan, runa iskay makikunawan: tunpa yana qara niraq, tunpa chuya qara niraq, runakuna, tunpa chuya qara niraq, tunpa yana qara niraq, zodiaco
👨🏾‍🤝‍👨🏽	Geminis, iskay, iskay makikunawan, runa, runa iskay makikunawan, runa iskay makikunawan: tunpa yana qara niraq, tunpa qara niraq, runakuna, tunpa qara niraq, tunpa yana qara niraq, zodiaco
👬🏾	Geminis, iskay, iskay makikunawan, runa, runa iskay makikunawan, runa iskay makikunawan: tunpa yana qara niraq, runakuna, tunpa yana qara niraq, zodiaco
👨🏾‍🤝‍👨🏿	Geminis, iskay, iskay makikunawan, runa, runa iskay makikunawan, runa iskay makikunawan: tunpa yana qara niraq, yana qara niraq, runakuna, tunpa yana qara niraq, yana qara niraq, zodiaco
👨🏿‍🤝‍👨🏻	Geminis, chuya qara niraq, iskay, iskay makikunawan, runa, runa iskay makikunawan, runa iskay makikunawan: yana qara niraq, chuya qara niraq, runakuna, yana qara niraq, zodiaco
👨🏿‍🤝‍👨🏼	Geminis, iskay, iskay makikunawan, runa, runa iskay makikunawan, runa iskay makikunawan: yana qara niraq, tunpa chuya qara niraq, runakuna, tunpa chuya qara niraq, yana qara niraq, zodiaco
👨🏿‍🤝‍👨🏽	Geminis, iskay, iskay makikunawan, runa, runa iskay makikunawan, runa iskay makikunawan: yana qara niraq, tunpa qara niraq, runakuna, tunpa qara niraq, yana qara niraq, zodiaco
👨🏿‍🤝‍👨🏾	Geminis, iskay, iskay makikunawan, runa, runa iskay makikunawan, runa iskay makikunawan: yana qara niraq, tunpa yana qara niraq, runakuna, tunpa yana qara niraq, yana qara niraq, zodiaco
👬🏿	Geminis, iskay, iskay makikunawan, runa, runa iskay makikunawan, runa iskay makikunawan: yana qara niraq, runakuna, yana qara niraq, zodiaco
💏	much’a, pitu runakuna
💏🏻	chuya qara niraq, much’a, much’a: chuya qara niraq, pitu runakuna
💏🏼	much’a, much’a: tunpa chuya qara niraq, pitu runakuna, tunpa chuya qara niraq
💏🏽	much’a, much’a: tunpa qara niraq, pitu runakuna, tunpa qara niraq
💏🏾	much’a, much’a: tunpa yana qara niraq, pitu runakuna, tunpa yana qara niraq
💏🏿	much’a, much’a: yana qara niraq, pitu runakuna, yana qara niraq
👩‍❤‍💋‍👨	much’a, much’a: warmi, tata, pitu runakuna, tata, warmi
👨‍❤‍💋‍👨	much’a, much’a: tata, tata, pitu runakuna, tata
👩‍❤‍💋‍👩	much’a, much’a: warmi, warmi, pitu runakuna, warmi
💑	munay, pitu runakuna, pitu runakuna sunquwan
💑🏻	chuya qara niraq, munay, pitu runakuna, pitu runakuna sunquwan, pitu runakuna sunquwan: chuya qara niraq
💑🏼	munay, pitu runakuna, pitu runakuna sunquwan, pitu runakuna sunquwan: tunpa chuya qara niraq, tunpa chuya qara niraq
💑🏽	munay, pitu runakuna, pitu runakuna sunquwan, pitu runakuna sunquwan: tunpa qara niraq, tunpa qara niraq
💑🏾	munay, pitu runakuna, pitu runakuna sunquwan, pitu runakuna sunquwan: tunpa yana qara niraq, tunpa yana qara niraq
💑🏿	munay, pitu runakuna, pitu runakuna sunquwan, pitu runakuna sunquwan: yana qara niraq, yana qara niraq
👩‍❤‍👨	munay, pitu runakuna, pitu runakuna sunquwan, pitu runakuna sunquwan: warmi, tata, tata, warmi
👨‍❤‍👨	munay, pitu runakuna, pitu runakuna sunquwan, pitu runakuna sunquwan: tata, tata, tata
👩‍❤‍👩	munay, pitu runakuna, pitu runakuna sunquwan, pitu runakuna sunquwan: warmi, warmi, warmi
👪️	kuraq ayllu
👨‍👩‍👦	kuraq ayllu, kuraq ayllu: tata, warmi, yuqalla, tata, warmi, yuqalla
👨‍👩‍👧	kuraq ayllu, kuraq ayllu: tata, warmi, warmi warma, tata, warmi, warmi warma
👨‍👩‍👧‍👦	kuraq ayllu, kuraq ayllu: tata, warmi, warmi warma, yuqalla, tata, warmi, warmi warma, yuqalla
👨‍👩‍👦‍👦	kuraq ayllu, kuraq ayllu: tata, warmi, yuqalla, yuqalla, tata, warmi, yuqalla
👨‍👩‍👧‍👧	kuraq ayllu, kuraq ayllu: tata, warmi, warmi warma, warmi warma, tata, warmi, warmi warma
👨‍👨‍👦	kuraq ayllu, kuraq ayllu: tata, tata, yuqalla, tata, yuqalla
👨‍👨‍👧	kuraq ayllu, kuraq ayllu: tata, tata, warmi warma, tata, warmi warma
👨‍👨‍👧‍👦	kuraq ayllu, kuraq ayllu: tata, tata, warmi warma, yuqalla, tata, warmi warma, yuqalla
👨‍👨‍👦‍👦	kuraq ayllu, kuraq ayllu: tata, tata, yuqalla, yuqalla, tata, yuqalla
👨‍👨‍👧‍👧	kuraq ayllu, kuraq ayllu: tata, tata, warmi warma, warmi warma, tata, warmi warma
👩‍👩‍👦	kuraq ayllu, kuraq ayllu: warmi, warmi, yuqalla, warmi, yuqalla
👩‍👩‍👧	kuraq ayllu, kuraq ayllu: warmi, warmi, warmi warma, warmi, warmi warma
👩‍👩‍👧‍👦	kuraq ayllu, kuraq ayllu: warmi, warmi, warmi warma, yuqalla, warmi, warmi warma, yuqalla
👩‍👩‍👦‍👦	kuraq ayllu, kuraq ayllu: warmi, warmi, yuqalla, yuqalla, warmi, yuqalla
👩‍👩‍👧‍👧	kuraq ayllu, kuraq ayllu: warmi, warmi, warmi warma, warmi warma, warmi, warmi warma
👨‍👦	kuraq ayllu, kuraq ayllu: tata, yuqalla, tata, yuqalla
👨‍👦‍👦	kuraq ayllu, kuraq ayllu: tata, yuqalla, yuqalla, tata, yuqalla
👨‍👧	kuraq ayllu, kuraq ayllu: tata, warmi warma, tata, warmi warma
👨‍👧‍👦	kuraq ayllu, kuraq ayllu: tata, warmi warma, yuqalla, tata, warmi warma, yuqalla
👨‍👧‍👧	kuraq ayllu, kuraq ayllu: tata, warmi warma, warmi warma, tata, warmi warma
👩‍👦	kuraq ayllu, kuraq ayllu: warmi, yuqalla, warmi, yuqalla
👩‍👦‍👦	kuraq ayllu, kuraq ayllu: warmi, yuqalla, yuqalla, warmi, yuqalla
👩‍👧	kuraq ayllu, kuraq ayllu: warmi, warmi warma, warmi, warmi warma
👩‍👧‍👦	kuraq ayllu, kuraq ayllu: warmi, warmi warma, yuqalla, warmi, warmi warma, yuqalla
👩‍👧‍👧	kuraq ayllu, kuraq ayllu: warmi, warmi warma, warmi warma, warmi, warmi warma
🗣️	parlachkan, parlay, rikchay, uma, uma parlachkan, uya
👤	rikchay, ukhu, ukhu rikchay
👥	rikchay, ukhu, ukhu rikchaykuna
🫂	aywa, imaynalla, makʼalli, pachi, runakuna makʼalliwan
👣	p’acha, yupi, yupinay
🦰	puka chukcha, pukachukcha, qillu niqcha
🦱	afro, qaspa, qaspa chukcha, qiwicha
🦳	chukcha, machu, uqi, yuraq, yuraq chukcha
🦲	hairless, mana chukchayuq, paqla, quimioterapia, rutusqa
🐵	kusillu, kusillu uya, uya
🐒	kusillu
🦍	gorila
🦧	kusillo, orangutan
🐶	allqu, allqu uya, uya, uywa
🐕️	allqu, uywa
🦮	haykurinalla, yanapaku, yanapakuq allqu, ñawsa
🐕‍🦺	allqu, haykurinalla, llamkaq allqu, llamkay, yanapakuy
🐩	allqu, poodle
🐺	k’ita allqu, uya
🦊	atuq, uya
🦝	challi, curioso, mapache
🐱	misi, misi uya, uya, uywa
🐈️	misi, uywa
🐈‍⬛	mana suertuwan, misi, yana, yana misi
🦁	Leo, leon, uya, zodiaco
🐯	tigre, tigre uya, uya
🐅	tigre
🐆	leopardo
🐴	kawallu, kawallu uya, uya
🐎	carrera, ecuestre, kawallu, kawallu purichiypaq
🦄	unicornio, uya
🦓	siqi, zebra
🦌	taruka
🦬	amawta, bison, bufalo, manada
🐮	uya, waka, waka uya
🐂	Tauro, buey, toro, zodiaco
🐃	bufalo, bufalo yakumanta, yaku
🐄	waka
🐷	khuchi, khuchi uya, uya
🐖	kuchi, tarpuy
