🦵🏻	جلد کی ہلکی رنگت, عضو, ٹانگ, ٹانگ: جلد کی ہلکی رنگت, ٹھوکر
🚉	اسٹیشن, ریلوے, ٹرین
🚊	سواری, ٹرام
🚝	ریل, سواری, مونو ریل
🚞	ریلوے, ماؤنٹین ریلوے, پہاڑ, گاڑی
🚋	ٹرالی بس, ٹرام, ٹرام کار, گاڑی
🚌	بس, سواری
🚎	بس, ٹرالی, ٹرالی بس, ٹرام
🚐	بس, سواری, منی بس
🚒	انجن, فائر, فائر انجن, ٹرک
🚓	پولیس, پولیس کار, گاڑی
🚕	سواری, ٹیکسی
🚖	آتی ہوئی, آتی ہوئی ٹیکسی, ٹیکسی
🚗	سواری, کار
🚙	تفریحی, تفریحی گاڑی, گاڑی
🚚	ٹرک, ڈلیوری, ڈلیوری ٹرک
🚛	جوڑ والی گاڑی, سواری, لاری, ٹرک
🚜	سواری, ٹریکٹر
🛴	سکوٹر, کک, کک سکوٹر
🛹	اسکیٹنگ تختہ, تختہ
🛵	سکوٹر, موٹر, موٹر والا سکوٹر
🚏	بس, بس اسٹاپ
🚨	لائٹ, پولیس, پولیس کار کی لائٹ, کار
🚥	اشارہ, افقی ٹریفک لائٹ, لائٹ, ٹریفک
🚦	اشارہ, عمودی ٹریفک لائٹ, لائٹ, ٹریفک
🛑	آٹھ زاویے, رکنا, رکنے کا نشان, نشان
🚧	تعمیر, رکاوٹ
🛶	چھوٹی, چھوٹی کشتی, ڈونگی, کشتی
🚤	انجن والی کشتی, سواری, کشتی
🚢	بحری جہاز, سواری
🛫	روانگی, ہوائی جہاز, ہوائی جہاز کی روانگی
🛬	آمد, ہوائی جہاز, ہوائی جہاز کی آمد
💺	سیٹ, فرنیچر, کرسی
🚁	سواری, ہیلی کاپٹر
🚟	ریلوے, معلق, معلق ریلوے
🚠	پہاڑ, پہاڑی کیبل وے, کیبل
🚡	ٹرام وے, کیبل, گاڑی, ہوائی, ہوائی ٹرام وے
🚀	آسمان, خلا, خلائی جہاز, راکٹ
🛸	اڑن تشتری, نامعلوم اڑن تشتری
🧳	سامان, سفر, پیکنگ
⏰	الارم, الارم کلاک, کلاک
🕧	12:30, بارہ, بارہ بج کر تیس منٹ, تیس, گھڑی
🕜	1:30, ایک, ایک بج کر تیس منٹ, تیس, گھڑی
🕝	2:30, تیس, دو, دو بج کر تیس منٹ, گھڑی
🕞	3:30, تیس, تین, تین بج کر تیس منٹ, گھڑی
🕟	4:30, تیس, چار, چار بج کر تیس منٹ, گھڑی
🕠	5:30, تیس, پانچ, پانچ بج کر تیس منٹ, گھڑی
🕡	6:30, تیس, وقت, چھ, چھ بج کر تیس منٹ
🕢	07:30, تیس, سات, سات بج کر تیس منٹ, گھڑی
🕣	08:30, آٹھ, آٹھ بج کر تیس منٹ, تیس, گھڑی
🕤	09:30, تیس, نو, نو بج کر تیس منٹ, گھڑی
🕥	10:30, تیس, دس, دس بج کر تیس منٹ, گھڑی
🕦	11:30, تیس, گھڑی, گیارہ, گیارہ بج کر تیس منٹ
🌑	سیاہ, موسم, نیا چاند, چاند
🌒	بڑھتا ہوا ہلال چاند, موسم, چاند, ہلال
🌓	موسم, پہلے کوارٹر کا چاند, چاند, کوارٹر
🌔	آدھے سے زیادہ بڑھتا ہوا چاند, بڑھتا ہوا, موسم, چاند
🌖	موسم, چاند, گھٹتا ہوا, گھٹتا ہوا آدھے سے زیادہ چاند
🌗	آخری کوارٹر کا چاند, موسم, چاند, کوارٹر
🌘	موسم, چاند, گھٹتا ہوا ہلال چاند, ہلال
🌙	موسم, چاند, ہلال, ہلال چاند
🌚	موسم, نئے چاند کا چہرہ, چاند, چہرہ
🌛	موسم, پہلے کوارٹر کا چاند مع چہرہ, چاند, چہرہ
🌝	خلا, صاف, موسم, مکمل, چہرہ, چہرے والا پورا چاند
🌞	خلا, سورج, صاف, موسم, چہرہ, چہرے والا سورج
🌟	ستارہ, چمکتا, چمکتا ستارہ
🌠	ستارہ, شہابِ ثاقب, گرتا
🌀	موسم, گرداب
🌈	بارش, قوس قزاح, موسم
🌂	بارش, بند چھتری, موسم, چھتڑی
🔥	آگ, اوزار
💧	قطرہ, موسم, ٹھنڈ
🌊	لہر, موسم, پانی, پانی کی لہر
🎃	جشن, لالٹین, کدو, کدو کی لالٹین
🎄	جشن, درخت, کرسمس, کرسمس کا درخت
🎆	آتشبازی, تفریح, جشن, خوشی, مزہ
🎇	آتش بازی, جشن, پھلجری
🧨	آتش بازی, دھماکا خیز, پٹاخہ, ڈائنامیٹ
✨	ستارہ, چمک, چمکتے ستارے
🎈	بلون, جشن, خوشی, غبارہ, مزہ
🎉	جشن, پارٹی, پارٹی کے پٹاخے, پٹاخے
🎊	بالز, رنگین کاغذ, رنگین کاغذ کے بالز
🎋	تنابتا درخت, جاپانی, جشن, درخت
🎍	جاپانی, جشن, پائن, پائن سے سجاوٹ, پودا
🎎	تہوار, جاپان, جاپانی گڑیاں, جشن, گڑیا
🎏	جاپان, جشن, ہوا, ہوائی جرابیں
🎐	جھنکار, گھنٹی, ہوا, ہوائی جھنکار
🎑	جشن, رسم, چاند, چاند کی رسم
🧧	تحفہ, خوش قسمتی, رقم, سرخ لفافہ, لائی سی, ہونگ باؤ
🎀	تحفہ, جشن, ربن
🎁	تحفہ, جشن, لپٹا ہوا, کاغذ میں لپٹا تحفہ, کاغذ میں لیٹا تحفہ
🎫	تقریب, داخلہ, ٹکٹ
🏅	اسپورٹس, اسپورٹس میڈل, انعام, میڈل
🥇	اول, میڈل, نمبر, گولڈ, گولڈ میڈل
🥈	دوسرا, سلور, سلور میڈل, میڈل, نمبر
🥉	برونز, برونز میڈل, تیسرا, میڈل, نمبر
🥎	بازو کے نیچے, دستانہ, نرم گیند, گیند
🏀	باسکٹ, باسکٹ بال, بال, کھیل
🏐	بال, والی بال, کھیل
🏈	امریکی, امریکی فٹبال, فٹبال, کھیل
🏉	امریکی, رغبی, رگبی فٹبال, فٹبال, کھیل
🎾	بال, ٹینس, کھیل
🥏	انتہائی, اڑتی ہوئی ڈسک
🎳	باؤلنگ, بال, بوتلیں, کھیل
🏏	بال, بیٹ, کرکٹ, کھیل
🏑	بال, فیلڈ ہاکی, میدان, کھیل, ہاکی
🏒	آئس ہاکی اسٹک اور پک, اسٹک, برف, پک, کھیل, ہاکی
🥍	لکراس, چھڑی, گول, گیند
🏓	بال, ریکٹ, ٹیبل, ٹیبل ٹینس, کھیل
🏸	بیڈمنٹن, ریکٹ, شٹل, نیٹ, کھیل
🥊	باکسنگ, باکسنگ کے دستانے, دستانے, کھیل
🥋	مارشل آرٹس, مارشل آرٹس کا یونیفارم, کراٹے, کھیل, یونیفارم
🥅	نیٹ, کھیل, گول, گول نیٹ
🎣	شکار, فشنگ پول, مچھلی, پانی, ڈنڈا
🎽	جاگنگ, دوڑنے کی شرٹ, شرٹ, واکنگ
🎿	اسکائی, اسکائیز, برف
🛷	برف گاڑی, بے پہیوں کی گاڑی
🥌	پتھر, کرلنگ پتھر, کھیل
🎯	براہ راست نشانہ, تیر اندازی, نشانہ, کھیل, ہدف
🎱	آٹھ, بال, بلیئرڈز, کھیل
🔮	بال, فینٹسی, قسمت, کرسٹل, کرسٹل بال
🧿	بری نظر, بری نظر کیلئے تعویز, تعویز, طلسمان, موتی, نظر
🎰	سلاٹ مشین, گیم
🎲	ڈائس, کھیل, گیم ڈائی
🧩	اشارہ, باہم مربوط, جِگسا, ٹکڑا, پزل
🧸	روئی سے بھرا, مخملی, کھلونا, کھلونا بھالو, کھیلنے کی چیز
🃏	تاش, جوکر, پتہ, کھیل
🎴	تاش, جاپانی, جاپانی تاش کا کھیل, کھیل
🎨	آرٹسٹ پیلٹ, عجائب گھر, فن, پینٹنگ
🧵	دھاگہ, سلائی, سوئی, چرخی, ڈوری
🧶	اونی دھاگہ, بُننا, کروشیا, گولہ
🔇	آواز, اسپیکر, اسپیکر بند, خاموشی
🔉	آواز, اسپیکر, اوسط آواز نکالتے اسپیکر
🔊	آواز, اسپیکر, بلند, بلند آواز نکالتے اسپیکر
📢	اجتماع, بلند آواز, خطاب, لاؤڈ اسپیکر
📣	آلہ, تیز آواز, میگا فون
📯	ساز, پوسٹل, پوسٹل ہارن, ہارن
🔔	آواز, گھنٹی
🔕	خاموشی, سکوت, ممانعت, گھنٹی, گھنٹی پر سلیش
🎼	اسکور, موسیقی, میوزیکل اسکور
🎵	موسیقی, میوزیکل نوٹ, نوٹ
🎶	موسیقی, میوزیکل نوٹس, نوٹس
🎤	مائیک, مائیکروفون, موسیقی
🎷	آلہ, سیکسو فون, موسیقی
🎸	آلہ, موسیقی, گٹار
🎹	آلہ, موسیقی, میوزیکل کی بورڈ, کی بورڈ
🎺	آلہ, موسیقی, ٹرمپٹ
🎻	آلہ, موسیقی, وائلن
🥁	اسٹکس, موسیقی, ڈرم
📱	برقی آلہ, فون, موبائل, موبائل فون
📲	تیر, تیر کے نشان کے ساتھ موبائل فون, فون, موبائل, نشان
📞	برقی آلہ, ریسیور, فون, ٹیلیفون کا ریسیور
📠	برقی آلہ, فیکس, فیکس مشین
🔋	بیٹری, قوت, پاور
🔌	الیکٹرک پلگ, برقی, پلگ
💽	منی, منی ڈسک, ڈسک, کمپیوٹر
💾	فلاپی, فلاپی ڈسک, ڈسک, کمپیوٹر
📀	ڈسک, ڈی وی ڈی, کمپیوٹر
🧮	حساب کتاب, گِنتارا
🎥	سینما, فلم, مووی کیمرا, کیمرا
📸	فلیش, فلیش والا کیمرا, ویڈیو, کیمرا
📼	ویڈیو, ویڈیو کیسٹ, ٹیپ
🔍	آلہ, اشارہ, بائیں, بائیں اشارہ کرتا محدب عدسہ, سمت, عدسہ, محدب
🔎	آلہ, اشارہ, دائیں, دائیں اشارہ کرتا محدب عدسہ, سمت, عدسہ, محدب
💡	برقی, بلب, روشنی, لائٹ بلب
🔦	برقی, روشنی, فلیش, فلیش لائٹ, ٹارچ
🏮	بار, روشنی, سرخ, سرخ مرچ, سرخ کاغذی لالٹین, لالٹین
📔	سجاوٹ, سجاوٹی کوور والی نوٹ بک, نوٹ بک, کتاب, کوور
📕	بند, بند کتاب, کتاب
📖	کتاب, کھلی, کھلی کتاب
📗	رنگ, سبز, سبز کتاب, کتاب
📘	رنگ, نیلا, نیلی کتاب, کتاب
📙	رنگ, نارنجی, نارنجی کتاب, کتاب
📓	نوٹ بک, کتاب
📒	لیجر, نوٹ بک
📃	دستاویز, صفحہ, مڑا ہوا, مڑا ہوا صفحہ
📜	اسکرول, صفحہ
📄	سامنے, صفحہ, صفحے کا سامنے والا حصہ
📰	اخبار, اطلاع, خبر, معلومات
🗞	اخبار, رول, رول کیا ہوا اخبار, کاغذ
📑	بُک مارک ٹیبز, بک مارک, ٹیبز
🔖	بُک مارک, بک مارک
💴	بنک, رقم, نوٹ, ین, ین بینک نوٹ
💵	بنک, رقم, نوٹ, ڈالر, ڈالر بینک نوٹ
💶	بنک, رقم, نوٹ, یورو, یورو بینک نوٹ
💷	بنک, رقم, نوٹ, پاؤنڈ, پاؤنڈ بینک نوٹ
💸	اڑنا, بنک, رقم, نوٹ, پر, پروں والے نوٹ, ڈالر
🧾	اکاؤنٹنگ, ثبوت, حساب نویسی, رسید, شہادت
💹	اضافہ, بنک, رقم, چارٹ, گراف, ین, ین کے ساتھ صعودی چارٹ
💱	بنک, تبادلہ, رقم, کرنسی, کرنسی کا تبادلہ
💲	بنک, بھاری ڈالر سائن, رقم, ڈالر, کرنسی
📧	ای میل, خط, پیغام
📨	آتا ہوا لفافہ, ای میل, وصولی, پیغام, ڈاک
📩	ای میل, تیر, تیر کا نشان اور لفافہ, نشان, پیغام, ڈاک
📮	باکس, میل, پوسٹ باکس
📝	اسٹیشنری, میمو, پنسل
💼	اسٹیشنری, بریف کیس
📁	اسٹیشنری, فائل, فائل فولڈر, فولڈر
📂	اسٹیشنری, فائل, فولڈر, کھلا, کھلا فائل فولڈر
📅	اسٹیشنری, تاریخ, کیلنڈر
📆	اسٹیشنری, قسم, ٹیئر آف کیلنڈر, کیلنڈر
📇	اسٹیشنری, انڈیکس, کارڈ, کارڈ انڈیکس
📈	اسٹیشنری, بڑھوتری, صعودی چارٹ, چارٹ
📉	اسٹیشنری, تنزلی, تنزلی چارٹ, چارٹ
📊	اسٹیشنری, بار, بار چارٹ, چارٹ, گراف
📌	اسٹیشنری, پُش پن, پِن
📍	اسٹیشنری, پِن, گول, گول پُش پن
📎	اسٹیشنری, پیپر, پیپر کلپ, کلپ
📏	اسٹریٹ رولر, اسٹیشنری, رولر, سیدھا
📐	اسٹیشنری, تکونی, تکونی رولر, رولر
🔏	لاک, پرائیویسی, پن, پن کے ساتھ لاک
🔐	بند, لاک, محفوظ, چابی, چابی کے ساتھ بند لاک
🔑	لاک, پاسورڈ, چابی
🔨	آلہ, ہتھوڑا
🔫	پستول, ہتھیار
🏹	تیر, تیر اور کمان, جنگ, کمان, ہتھیار
🔧	آلہ, رینچ
🔩	آلہ, بولٹ, نٹ, نٹ اور بولٹ
🔗	تالا, جوڑ, رابطہ, لنک
🧰	اوزار, صندوق, مکینک, ٹُول بکس
🧲	مقناطیس, مقناطیسی, کشش, گھڑ نعل
🧪	تجربہ, سائنس, لیب, ٹیسٹ ٹیوب, کیمسٹ, کیمسٹری
🧫	بائیالوجسٹ, بائیالوجی, بیکٹیریا, ثقافت, لیب, پیٹری ڈش
🧬	ارتقاء, بائیالوجسٹ, جین, جینیات, زندگی, ڈی این اے
🔬	آلہ, سکوپ, مائیکرو, مائیکروسکوپ
🔭	آلہ, سکوپ, ٹیلی, ٹیلی سکوپ
📡	آلہ, انٹینا, سٹلائٹ, سیٹلائٹ انٹینا, ڈش
💉	آلہ, دوائی, سرنج, سوئی, ڈاکٹر
💊	بیماری, دوائی, ڈاکٹر, گولی
🚪	داخلی دروازہ, دروازہ, دہلیز, راستہ, چوکھٹ
🚽	بیت الخلا, غسل خانہ, ٹائلٹ
🚿	شاور, پانی
🛁	نہانا, نہانے کا ٹب
🧴	سورج کی تمازت سے بچنے کے لیے جِلدی کریم, شیمپو, لوشن, لوشن کی بوتل, موئسچرائزر
🧷	حِفاظتی پِن, پَنک راک, ڈائپر
🧹	جادوگرنی, جھاڑو, جھاڑو لگانا, صفائی
🧺	فارمنگ, لانڈری, ٹوکری, پکنک
🧻	ٹوائلٹ پیپر, کاغذی تولیے, کاغذی رول
🧼	جھاگ, صابن, صابن کی ڈش, صفائی, غسل, ٹکیہ
🧽	اسفنج, جذب کرنے والا, صفائی, مسام دار
🧯	آتش, آگ بجھانا, آگ بُجھانے والا آلہ, ٹھنڈا کرنا
🛒	شاپنگ, شاپنگ ٹرالی, ٹرالی
🚬	دھواں, سگریٹ نوشی, سگریٹ کشی
🗿	مجسمہ, موآئی, چہرہ
🏧	آٹو میٹک, اے ٹی ایم, اے ٹی ایم کی علامت, بنک, رقم
🚮	ردی, ٹوکری, کوڑا ٹوکری میں کا سائن
🚰	پانی, پینا, پینے کا پانی
🚻	ریسٹ روم, ٹوائلٹ, کمرہ
🚾	واش روم, ٹوائلٹ, کمرہ
🛂	پاسپورٹ, پاسپورٹ کنٹرول, کنٹرول
🛃	ادارہ, کسٹمز
🛄	سامان, سامان کا کلیم, کلیم
🛅	سامان, لاکر, محفوظ, چُھوٹا ہوا سامان
🚸	بچوں کے گزرنے کا سائن, بچے, سائن, سڑک, ٹریفک
🚫	داخلہ, سائن, ممنوع, منع, ٹریفک
🚳	سائن, سائیکل, سائیکلیں ممنوع, منع, ٹریفک
🚯	سائن, منع, کوڑا, کوڑا پھینکنا منع ہے
🚱	سائن, منع, نا پینے والا پانی, پانی, پینا
🚷	سائن, منع, ٹریفک, پیدل, پیدل چلنے والے ممنوع
📵	فون, منع, موبائل, موبائل فون ممنوع
🔞	اٹھارہ, اٹھارہ سے کم عمر کی اجازت نہیں, سائن, عمر, پابندی
🔃	تیر, سائن, سمت, گھڑی کی سمت, گھڑی کی سمت میں عمودی تیر
🔄	تیر, سائن, سمت, گھڑی کی مخالف سمت, گھڑی کی مخالف سمت میں تیر بٹن
🔙	تیر, واپسی تیر, پیچھے
🔚	اختتام, اختتام تیر, تیر
🔛	آن, آن! تیر, تیر
🔜	تیر, جلد, جلد تیر
🔝	اوپر, بالا تیر, تیر
🛐	جگہ, عبادت, عبادت گاہ, مذہب
🕎	مذہب, مینورہ, کینڈل اسٹک
🔯	ستارہ, قسمت, نکتہ دار چھ کونوں والا ستارہ, چھ, کونے
⛎	برج, برج حوا, سانپ
🔀	بٹن, شفل, ٹریکس, ٹریکس کو شفل کرنے کا بٹن
🔁	بٹن, دوہرانہ, دوہرانے کا بٹن, ٹریکس
🔂	ایک دفعہ, ایک دفعہ دوہرانے کا بٹن, بٹن, دوہرانہ, ٹریکس
▶	بٹن, ٹریکس, چلانا, چلانے کا بٹن
⏩	بٹن, تیز فارورڈ بٹن, فارورڈ, ٹریکس
⏭	اگلا, اگلا ٹریک بٹن, بٹن, ٹریکس
⏯	بٹن, روکنا, ٹریکس, چلانا, چلانے یا روکنے کا بٹن
◀	بٹن, ٹریکس, پیچھے, پیچھے جانے کا بٹن
⏪	بٹن, تیزی سے پیچھے جانے کا بٹن, ٹریکس, پیچھے
⏮	آخری, آخری ٹریک کا بٹن, بٹن, ٹریکس
🔼	اوپر, اوپر کا بٹن, بٹن, ٹریکس
⏫	اوپر, بٹن, تیزی, تیزی سے اوپر کا بٹن, ٹریکس
🔽	بٹن, نیچے, نیچے کا بٹن, ٹریکس
⏬	بٹن, تیزی, تیزی سے نیچے کا بٹن, نیچے, ٹریکس
🎦	سینما, فلم
🔅	بٹن, دھیما, دھیما کا بٹن, ٹریکس
🔆	بٹن, روشن, روشن کا بٹن, ٹریکس
📶	انٹینا, انٹینا بارز, بار, سگنلز, فون, موبائل
📳	فون, موبائل, وائبریشن, وائبریشن موڈ
📴	بند, بند موبائل فون, فون, موبائل
⚜	آسٹریلیا, تین, تین پتیوں والا للی, پتیاں, پھول
